,City,Country,Latitude,Longitude,Temperature (F),Wind Speed (mph),Cloudiness %,Humidity %,Date
0,Port Hardy,CA,50.7,-127.42,70.07,4.7,75,52,1596346233
1,Okhotsk,RU,59.38,143.3,64.96,8.21,1,55,1596346311
2,Najrān,SA,17.49,44.13,84.47,11.41,22,62,1596346311
3,Ketchikan,US,55.34,-131.65,58.19,5.82,90,100,1596346052
4,Deputatsky,RU,69.3,139.9,63.64,9.31,29,47,1596346311
5,Umluj,SA,25.02,37.27,94.44,19.98,1,50,1596346312
6,Yar-Sale,RU,66.83,70.83,67.14,11.68,12,64,1596346312
7,New Norfolk,AU,-42.78,147.06,53.87,3.0,87,48,1596346312
8,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
9,Jertih,MY,5.73,102.49,88.66,4.7,20,66,1596346312
10,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
11,Codrington,AU,-38.27,141.97,55.24,6.15,100,73,1596346313
12,Constitución,CL,-35.33,-72.42,53.89,3.44,100,90,1596346313
13,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
14,Saint-Augustin,CA,51.23,-58.65,50.97,1.1,24,95,1596346313
15,The Pas,CA,53.83,-101.25,55.67,2.1,1,93,1596346314
16,Cave Spring,US,37.23,-80.01,73.78,3.31,1,78,1596346118
17,Bluff,NZ,-46.6,168.33,50.95,4.74,100,89,1596346314
18,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
19,Champerico,GT,14.3,-91.92,82.31,2.04,4,74,1596346200
20,Lompoc,US,34.64,-120.46,55.76,8.05,90,87,1596346290
21,Nelson Bay,AU,-32.72,152.15,67.69,5.82,36,42,1596346315
22,New Norfolk,AU,-42.78,147.06,53.87,3.0,87,48,1596346312
23,Kozhva,RU,65.11,57.05,59.18,8.16,88,79,1596346315
24,Mount Isa,AU,-20.73,139.5,79.07,8.05,0,26,1596346315
25,Aksha,RU,50.28,113.29,70.23,3.89,40,74,1596346316
26,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
27,Ewo,CG,-0.87,14.82,76.51,7.63,100,74,1596346316
28,Marhaura,IN,25.97,84.87,88.07,3.36,75,70,1596346316
29,Hovorany,CZ,48.95,16.99,61.66,3.36,51,77,1596346316
30,Chokurdakh,RU,70.63,147.92,61.23,6.08,94,52,1596346316
31,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
32,Yar-Sale,RU,66.83,70.83,67.14,11.68,12,64,1596346312
33,Hong Kong,HK,22.29,114.16,84.33,13.0,100,74,1596346259
34,Isangel,VU,-19.55,169.27,73.67,13.87,23,69,1596346317
35,Nyurba,RU,63.28,118.33,78.58,6.4,0,36,1596346317
36,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
37,Vao,NC,-22.67,167.48,68.23,17.34,52,70,1596346148
38,Dunedin,NZ,-45.87,170.5,54.37,2.84,84,77,1596346100
39,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
40,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
41,Benghazi,LY,32.12,20.07,81.19,6.67,0,78,1596346318
42,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
43,Norman Wells,CA,65.28,-126.83,73.67,2.24,75,73,1596346319
44,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
45,Chapais,CA,49.78,-74.85,62.87,4.05,75,88,1596346319
46,Port Blair,IN,11.67,92.75,83.28,24.36,100,80,1596346319
47,Vestmannaeyjar,IS,63.44,-20.27,51.89,16.17,97,92,1596346319
48,Qasigiannguit,GL,68.82,-51.19,39.47,3.47,77,100,1596346319
49,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
50,Arraial do Cabo,BR,-22.97,-42.03,68.86,11.34,3,74,1596346320
51,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
52,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
53,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
54,Laas,IT,46.62,10.7,61.25,1.23,75,100,1596346320
55,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
56,San Patricio,MX,19.22,-104.7,81.72,3.27,100,74,1596346321
57,Havelock,US,34.88,-76.9,81.41,9.17,1,94,1596346320
58,San Patricio,MX,19.22,-104.7,81.72,3.27,100,74,1596346321
59,Estelle,US,29.85,-90.11,80.83,3.36,1,94,1596346321
60,Hermanus,ZA,-34.42,19.23,60.78,3.67,0,49,1596346322
61,Katsina,NG,12.99,7.6,76.93,15.35,75,76,1596346322
62,Asadābād,IR,34.78,48.12,75.47,4.7,0,25,1596346322
63,Atuona,PF,-9.8,-139.03,79.48,16.75,38,76,1596346322
64,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
65,Nicoya,CR,10.15,-85.45,76.26,0.96,52,92,1596346322
66,Hanzhong,CN,33.07,107.03,89.02,1.32,7,59,1596346322
67,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
68,Port Elizabeth,ZA,-33.92,25.57,46.67,2.24,0,93,1596346323
69,Tombouctou,ML,20.0,-3.0,92.1,14.25,0,41,1596346323
70,Arraial do Cabo,BR,-22.97,-42.03,68.86,11.34,3,74,1596346320
71,Enshi,CN,30.3,109.48,94.15,2.42,89,50,1596346068
72,Bowen,AU,-20.02,148.23,74.05,20.8,1,53,1596346323
73,Margate,GB,51.38,1.39,60.51,1.99,27,72,1596346211
74,Agua Prieta,MX,31.3,-109.57,67.78,7.0,99,68,1596346123
75,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
76,Ndélé,CF,8.41,20.65,71.1,1.97,100,95,1596346324
77,Kieta,PG,-6.22,155.63,82.2,3.56,15,74,1596346324
78,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
79,Arraial do Cabo,BR,-22.97,-42.03,68.86,11.34,3,74,1596346320
80,Hilo,US,19.73,-155.09,73.92,4.7,90,57,1596346325
81,Sumbawanga,TZ,-7.97,31.62,50.27,8.05,5,87,1596346325
82,Fortuna,US,40.6,-124.16,58.39,1.01,12,93,1596346325
83,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
84,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
85,Harper,LR,4.38,-7.72,74.46,8.86,87,83,1596346138
86,Upernavik,GL,72.79,-56.15,40.59,11.16,0,71,1596346326
87,Torbay,CA,47.67,-52.73,57.56,9.17,90,100,1596346326
88,Port Hardy,CA,50.7,-127.42,70.07,4.7,75,52,1596346233
89,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
90,Daru,PG,-9.08,143.21,78.51,11.68,77,72,1596346326
91,Bredasdorp,ZA,-34.53,20.04,46.67,4.7,0,93,1596346326
92,Tasiilaq,GL,65.61,-37.64,43.07,3.36,35,70,1596346326
93,Rybinsk,RU,58.04,38.84,60.03,7.58,13,64,1596346327
94,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
95,Pemberton,CA,50.32,-122.8,68.72,4.68,16,59,1596346197
96,Pascagoula,US,30.37,-88.56,77.25,7.72,1,88,1596346327
97,Kemin,KG,42.78,75.69,77.7,4.38,97,42,1596346327
98,Richards Bay,ZA,-28.78,32.04,62.51,6.13,0,70,1596346328
99,Nara,JP,34.69,135.8,94.84,9.17,75,59,1596346040
100,Berlevåg,NO,70.86,29.09,49.26,7.72,100,84,1596346328
101,Chu,KZ,43.6,73.76,90.91,1.16,33,22,1596346328
102,Bethel,US,41.37,-73.41,72.45,3.36,1,83,1596346328
103,Guerrero Negro,MX,27.98,-114.06,74.03,11.97,0,73,1596346329
104,Torbat-e Jām,IR,35.24,60.62,84.38,3.36,0,17,1596346329
105,Kayerkan,RU,69.35,87.76,71.87,15.66,89,40,1596346329
106,Hilo,US,19.73,-155.09,73.92,4.7,90,57,1596346325
107,Vila Velha,BR,-20.33,-40.29,64.67,5.75,90,100,1596346329
108,Plettenberg Bay,ZA,-34.05,23.37,72.68,14.83,0,22,1596346330
109,Urusha,RU,54.05,122.9,70.7,10.92,100,71,1596346330
110,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
111,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
112,Kharan,PK,28.58,65.42,99.09,5.55,65,29,1596346330
113,Banda Aceh,ID,5.56,95.32,86.7,16.89,100,65,1596346330
114,Butaritari,KI,3.07,172.79,84.11,16.84,9,77,1596346330
115,Leningradskiy,RU,69.38,178.42,40.55,6.11,94,79,1596346331
116,East London,ZA,-33.02,27.91,48.47,6.93,0,87,1596346331
117,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
118,Airai,TL,-8.93,125.41,72.64,2.75,8,54,1596346331
119,Pevek,RU,69.7,170.31,36.68,6.73,95,90,1596346331
120,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
121,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
122,Korla,CN,41.76,86.15,89.76,4.34,86,12,1596346332
123,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
124,Ishigaki,JP,24.34,124.16,82.67,18.34,75,94,1596346332
125,Saint-Philippe,RE,-21.36,55.77,67.14,13.87,90,68,1596346332
126,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
127,Leningradskiy,RU,69.38,178.42,40.55,6.11,94,79,1596346331
128,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
129,Ostrovnoy,RU,68.05,39.51,51.66,17.63,100,88,1596346333
130,Tiksi,RU,71.69,128.87,50.65,4.0,66,67,1596346333
131,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
132,Marabu,MY,4.41,114.01,89.58,5.82,40,75,1596346334
133,Kruisfontein,ZA,-34.0,24.73,61.23,13.89,1,32,1596346334
134,Saskylakh,RU,71.92,114.08,76.57,6.15,100,34,1596346334
135,Dzhebariki-Khaya,RU,62.22,135.8,80.47,4.94,11,27,1596346334
136,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
137,Flinders,AU,-34.58,150.86,62.28,3.0,92,58,1596346334
138,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
139,Kampot,KH,10.62,104.18,85.5,21.92,75,70,1596346335
140,Chui,UY,-33.7,-53.46,53.13,7.65,87,92,1596346335
141,Saint-Philippe,RE,-21.36,55.77,67.14,13.87,90,68,1596346332
142,Kaitangata,NZ,-46.28,169.85,55.27,4.0,93,72,1596346335
143,Kahului,US,20.89,-156.47,74.57,14.99,40,57,1596346335
144,Thompson,CA,55.74,-97.86,53.87,0.76,20,81,1596346335
145,Comodoro Rivadavia,AR,-45.87,-67.5,52.07,17.22,0,52,1596346333
146,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
147,Ostrovnoy,RU,68.05,39.51,51.66,17.63,100,88,1596346333
148,Kaitangata,NZ,-46.28,169.85,55.27,4.0,93,72,1596346335
149,Madīnat Sittah Uktūbar,EG,29.82,31.05,82.45,4.54,0,61,1596346336
150,Kota Kinabalu,MY,5.97,116.07,89.87,4.7,20,70,1596346337
151,Khani,GE,41.96,42.96,73.67,3.36,90,94,1596346337
152,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
153,Sangar,RU,63.92,127.47,78.69,7.02,0,32,1596346337
154,Saskylakh,RU,71.92,114.08,76.57,6.15,100,34,1596346334
155,Hilo,US,19.73,-155.09,73.92,4.7,90,57,1596346325
156,Diapaga,BF,12.07,1.79,74.77,9.6,34,87,1596346337
157,Bethel,US,41.37,-73.41,72.45,3.36,1,83,1596346328
158,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
159,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
160,Nikolskoye,RU,59.7,30.79,60.76,4.47,40,87,1596346338
161,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
162,Tasiilaq,GL,65.61,-37.64,43.07,3.36,35,70,1596346326
163,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
164,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
165,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
166,Torbay,CA,47.67,-52.73,57.56,9.17,90,100,1596346326
167,Butaritari,KI,3.07,172.79,84.11,16.84,9,77,1596346330
168,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
169,Tahe,CN,52.33,124.73,78.44,7.94,86,55,1596346340
170,Kargasok,RU,59.06,80.86,78.49,4.47,48,60,1596346340
171,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
172,Chokurdakh,RU,70.63,147.92,61.23,6.08,94,52,1596346316
173,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
174,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
175,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
176,Horsham,GB,51.06,-0.33,53.1,3.36,20,87,1596346341
177,Cabo San Lucas,MX,22.89,-109.91,86.25,1.01,0,62,1596346341
178,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
179,Almazar,UZ,40.32,69.01,86.27,6.71,0,27,1596346341
180,Iqaluit,CA,63.75,-68.51,46.67,11.41,75,93,1596346341
181,Hong Kong,HK,22.29,114.16,84.33,13.0,100,74,1596346259
182,Thompson,CA,55.74,-97.86,53.87,0.76,20,81,1596346335
183,Krasnodarskiy Kray,RU,45.0,40.0,67.41,2.24,4,72,1596346342
184,Maltahöhe,NA,-24.83,16.98,45.48,5.99,0,50,1596346342
185,Tura,IN,25.52,90.22,87.6,2.55,62,74,1596346326
186,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
187,Mandalgovi,MN,45.76,106.27,66.07,26.11,62,51,1596346343
188,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
189,Butaritari,KI,3.07,172.79,84.11,16.84,9,77,1596346330
190,Upernavik,GL,72.79,-56.15,40.59,11.16,0,71,1596346326
191,Avarua,CK,-21.21,-159.78,68.27,2.24,100,72,1596346343
192,Bengkulu,ID,-3.8,102.27,83.7,8.81,98,68,1596346291
193,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
194,Nantucket,US,41.28,-70.1,66.47,5.82,1,93,1596346183
195,Joensuu,FI,62.6,29.76,61.7,5.82,20,72,1596346344
196,Kupang,ID,-10.17,123.58,89.87,11.41,20,33,1596346178
197,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
198,Torbay,CA,47.67,-52.73,57.56,9.17,90,100,1596346326
199,Poronaysk,RU,49.22,143.12,68.7,14.81,97,86,1596346345
200,Saint Paul Harbor,US,57.79,-152.41,57.47,3.36,90,76,1596346345
201,Aldan,RU,58.6,125.39,62.31,12.37,97,62,1596346345
202,São Félix do Xingu,BR,-6.64,-51.99,67.96,1.5,29,56,1596346345
203,Cooma,AU,-36.23,149.13,55.67,3.36,32,32,1596346345
204,Alekseyevsk,RU,57.84,108.35,81.14,13.89,0,38,1596346345
205,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
206,Hithadhoo,MV,-0.6,73.08,83.68,10.31,64,71,1596346247
207,Témiscaming,CA,46.72,-79.1,67.59,2.24,75,77,1596346346
208,Iquique,CL,-20.22,-70.14,61.07,4.7,90,67,1596346346
209,Norman Wells,CA,65.28,-126.83,73.67,2.24,75,73,1596346319
210,Yellowknife,CA,62.46,-114.35,73.42,13.87,20,56,1596346285
211,Carnarvon,AU,-24.87,113.63,68.27,14.99,0,64,1596346301
212,Khanbari,NP,27.37,87.2,87.24,5.23,52,57,1596346347
213,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
214,Thompson,CA,55.74,-97.86,53.87,0.76,20,81,1596346335
215,Mahébourg,MU,-20.41,57.7,71.87,12.75,75,78,1596346347
216,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
217,Melilla,ES,35.29,-2.94,87.73,10.29,10,29,1596346347
218,Saint Paul Harbor,US,57.79,-152.41,57.47,3.36,90,76,1596346345
219,Port Hawkesbury,CA,45.62,-61.35,64.15,5.82,90,88,1596346348
220,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
221,Beringovskiy,RU,63.05,179.32,50.59,12.55,100,78,1596346348
222,Kiryat Gat,IL,31.61,34.76,77.81,3.0,0,57,1596346348
223,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
224,Bogo,PH,11.05,124.01,88.0,3.31,100,60,1596346349
225,Namatanai,PG,-3.67,152.43,83.07,8.25,49,76,1596346349
226,Bethel,US,41.37,-73.41,72.45,3.36,1,83,1596346328
227,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
228,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
229,Clyde River,CA,70.47,-68.59,35.87,2.24,90,100,1596346350
230,Poronaysk,RU,49.22,143.12,68.7,14.81,97,86,1596346345
231,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
232,East London,ZA,-33.02,27.91,48.47,6.93,0,87,1596346331
233,Faanui,PF,-16.48,-151.75,78.39,12.97,17,83,1596346350
234,Nnewi,NG,6.02,6.91,71.38,3.87,100,93,1596346351
235,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
236,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
237,Saldanha,ZA,-33.01,17.94,50.27,1.12,0,71,1596346351
238,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
239,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
240,Tingi,TZ,-11.3,35.03,60.15,4.52,68,67,1596346352
241,Saldanha,ZA,-33.01,17.94,50.27,1.12,0,71,1596346351
242,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
243,Provideniya,RU,64.38,-173.3,48.63,8.63,14,63,1596346352
244,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
245,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
246,Srednekolymsk,RU,67.45,153.68,61.07,3.78,80,49,1596346352
247,Khatanga,RU,71.97,102.5,67.01,11.01,100,73,1596346353
248,Maxixe,MZ,-23.86,35.35,68.27,4.7,75,64,1596346353
249,Hithadhoo,MV,-0.6,73.08,83.68,10.31,64,71,1596346247
250,Saint George,US,37.1,-113.58,92.71,4.7,1,11,1596346272
251,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
252,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
253,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
254,Haines Junction,CA,60.75,-137.51,57.45,7.61,51,63,1596346102
255,Dunedin,NZ,-45.87,170.5,54.37,2.84,84,77,1596346100
256,Kwang Binh,VN,17.48,106.6,84.52,11.14,100,72,1596346354
257,Mar del Plata,AR,-38.0,-57.56,52.36,5.82,100,87,1596346355
258,Broken Hill,AU,-31.95,141.43,70.07,5.82,46,19,1596346355
259,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
260,Kaoma,ZM,-14.78,24.8,51.94,11.14,0,58,1596346355
261,Nikolskoye,RU,59.7,30.79,60.76,4.47,40,87,1596346338
262,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
263,Tucumã,BR,-0.18,-50.05,76.68,6.82,67,91,1596346356
264,Matamoros,MX,25.53,-103.25,77.27,10.31,34,57,1596346356
265,Nushki,PK,29.55,66.02,98.96,8.77,12,13,1596346356
266,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
267,Port-Gentil,GA,-0.72,8.78,75.47,10.18,40,88,1596346357
268,Bengkulu,ID,-3.8,102.27,83.7,8.81,98,68,1596346291
269,Dikson,RU,73.51,80.55,50.72,15.23,23,88,1596346357
270,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
271,Bredasdorp,ZA,-34.53,20.04,46.67,4.7,0,93,1596346326
272,Rāvar,IR,31.27,56.81,96.67,7.4,29,16,1596346357
273,Leh,IN,34.17,77.58,67.33,6.35,2,27,1596346357
274,Sobolevo,RU,54.43,31.9,57.31,8.72,76,85,1596346358
275,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
276,Bluff,NZ,-46.6,168.33,50.95,4.74,100,89,1596346314
277,Laguna,US,38.42,-121.42,75.24,6.93,1,46,1596346191
278,Zhangye,CN,38.93,100.45,86.74,5.3,99,14,1596346358
279,Provideniya,RU,64.38,-173.3,48.63,8.63,14,63,1596346352
280,Oistins,BB,13.07,-59.53,82.67,8.05,40,78,1596346209
