,City,Country,Latitude,Longitude,Temperature (F),Wind Speed (mph),Cloudiness %,Humidity %,Date
281,Lata,PT,40.16,-8.33,61.2,2.48,55,92,1596346359
282,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
283,Bairiki Village,KI,1.33,172.98,86.27,11.41,20,70,1596346359
284,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
285,Tual,ID,-5.67,132.75,78.55,17.13,42,82,1596346359
286,Lima,PE,-12.04,-77.03,59.27,8.05,90,87,1596346164
287,São Filipe,CV,14.9,-24.5,77.9,1.12,0,83,1596346360
288,Nerchinskiy Zavod,RU,51.31,119.61,85.03,10.78,69,43,1596346360
289,San Onofre,CO,9.74,-75.53,78.48,4.16,49,92,1596346360
290,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
291,Cabo San Lucas,MX,22.89,-109.91,86.25,1.01,0,62,1596346341
292,Iskateley,RU,67.68,53.15,57.47,8.79,83,78,1596346361
293,Mbanza-Ngungu,CD,-5.25,14.87,65.95,7.34,86,86,1596346361
294,East London,ZA,-33.02,27.91,48.47,6.93,0,87,1596346331
295,Marshalltown,US,42.05,-92.91,65.37,6.93,75,93,1596346361
296,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
297,Atuona,PF,-9.8,-139.03,79.48,16.75,38,76,1596346322
298,Pevek,RU,69.7,170.31,36.68,6.73,95,90,1596346331
299,Olafsvik,IS,64.89,-23.71,46.85,23.53,100,87,1596346338
300,New Norfolk,AU,-42.78,147.06,53.87,3.0,87,48,1596346312
301,Ribeira Grande,PT,38.52,-28.7,70.75,7.76,2,69,1596346320
302,Erzin,TR,36.96,36.2,85.26,4.43,81,77,1596346362
303,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
304,Castro,BR,-24.79,-50.01,49.66,3.22,0,97,1596346362
305,Mahébourg,MU,-20.41,57.7,71.87,12.75,75,78,1596346347
306,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
307,Safi,MA,32.3,-9.24,73.17,16.87,0,75,1596346116
308,Puerto Ayora,EC,-0.74,-90.35,67.26,4.0,96,96,1596346363
309,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
310,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
311,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
312,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
313,Mweka,CD,-4.85,21.57,77.81,1.21,79,44,1596346364
314,Plettenberg Bay,ZA,-34.05,23.37,72.68,14.83,0,22,1596346330
315,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
316,Vallenar,CL,-28.57,-70.76,57.63,1.59,17,53,1596346364
317,Parabel',RU,58.7,81.48,78.58,6.33,20,60,1596346364
318,Tateyama,JP,34.98,139.87,88.2,9.17,40,58,1596346364
319,Norman Wells,CA,65.28,-126.83,73.67,2.24,75,73,1596346319
320,Kaitangata,NZ,-46.28,169.85,55.27,4.0,93,72,1596346335
321,Clyde River,CA,70.47,-68.59,35.87,2.24,90,100,1596346350
322,Zhangye,CN,38.93,100.45,86.74,5.3,99,14,1596346358
323,Kaitangata,NZ,-46.28,169.85,55.27,4.0,93,72,1596346335
324,Amapá,BR,1.0,-52.0,70.75,1.25,77,98,1596346365
325,Walvis Bay,NA,-22.96,14.51,66.47,6.93,0,22,1596346365
326,Bowen,AU,-20.02,148.23,74.05,20.8,1,53,1596346323
327,Margate,GB,51.38,1.39,60.51,1.99,27,72,1596346211
328,Tiksi,RU,71.69,128.87,50.65,4.0,66,67,1596346333
329,Avarua,CK,-21.21,-159.78,68.27,2.24,100,72,1596346343
330,Cacequi,BR,-29.88,-54.83,60.35,8.08,0,93,1596346084
331,Iranshahr,IR,27.2,60.68,100.67,11.41,0,31,1596346366
332,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
333,Chui,UY,-33.7,-53.46,53.13,7.65,87,92,1596346335
334,Londoko,RU,49.03,131.98,77.16,2.91,97,90,1596346367
335,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
336,Barrow,US,71.29,-156.79,35.87,9.17,90,74,1596346128
337,Lavrentiya,RU,65.58,-171.0,44.01,12.37,95,72,1596346367
338,Beloha,MG,-25.17,45.05,66.74,14.38,0,60,1596346368
339,Chui,UY,-33.7,-53.46,53.13,7.65,87,92,1596346335
340,San Miguel de Tucumán,AR,-26.82,-65.22,53.87,4.7,0,66,1596346354
341,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
342,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
343,Ürümqi,CN,43.8,87.6,88.07,4.47,6,19,1596346332
344,Mandalgovi,MN,45.76,106.27,66.07,26.11,62,51,1596346343
345,Salalah,OM,17.02,54.09,82.67,3.36,75,88,1596346369
346,Zhezkazgan,KZ,47.8,67.71,88.07,11.18,0,27,1596346369
347,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
348,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
349,Cherskiy,RU,68.75,161.3,51.33,12.97,74,63,1596346369
350,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
351,Airai,TL,-8.93,125.41,72.64,2.75,8,54,1596346331
352,Saskylakh,RU,71.92,114.08,76.57,6.15,100,34,1596346334
353,Chokurdakh,RU,70.63,147.92,61.23,6.08,94,52,1596346316
354,Cehegín,ES,38.09,-1.8,78.04,1.01,0,63,1596346370
355,Inongo,CD,-1.95,18.27,71.01,3.2,85,76,1596346370
356,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
357,Ekhabi,RU,53.51,142.97,52.93,13.82,100,94,1596346370
358,Poya,NC,-21.35,165.15,68.32,9.8,3,66,1596346370
359,Gerāsh,IR,27.67,54.14,91.67,6.93,22,52,1596346371
360,Galesong,ID,-5.32,119.37,89.87,11.41,20,52,1596346371
361,Butaritari,KI,3.07,172.79,84.11,16.84,9,77,1596346330
362,Changping,CN,40.22,116.22,95.67,6.71,2,52,1596346371
363,Richards Bay,ZA,-28.78,32.04,62.51,6.13,0,70,1596346328
364,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
365,Hermanus,ZA,-34.42,19.23,60.78,3.67,0,49,1596346322
366,Tilichiki,RU,60.47,166.1,61.5,5.08,67,63,1596346372
367,Bukama,CD,-9.2,25.85,72.68,1.77,95,31,1596346372
368,Władysławowo,PL,54.79,18.4,58.28,1.12,25,87,1596346372
369,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
370,Te Anau,NZ,-45.42,167.72,50.56,1.86,93,91,1596346373
371,Chirkey,RU,42.96,46.98,77.27,15.66,40,61,1596346373
372,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
373,Port Hawkesbury,CA,45.62,-61.35,64.15,5.82,90,88,1596346348
374,Porto Nacional,BR,-10.71,-48.42,71.87,2.24,2,64,1596346373
375,Bara,NG,10.37,10.73,73.4,8.88,96,92,1596346373
376,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
377,Isangel,VU,-19.55,169.27,73.67,13.87,23,69,1596346317
378,Esperance,AU,-33.87,121.9,61.07,10.29,75,63,1596346374
379,Luganville,VU,-15.53,167.17,77.27,4.7,90,94,1596346374
380,Aklavik,CA,68.22,-135.01,53.87,10.29,75,87,1596346374
381,Saint Paul Harbor,US,57.79,-152.41,57.47,3.36,90,76,1596346345
382,Saint Anthony,US,45.02,-93.22,67.68,8.05,90,68,1596346375
383,Manicaragua,CU,22.15,-79.97,77.27,1.12,40,88,1596346375
384,Chapais,CA,49.78,-74.85,62.87,4.05,75,88,1596346319
385,Vanavara,RU,60.34,102.28,77.07,9.86,83,38,1596346375
386,Toktogul,KG,41.87,72.94,73.04,3.94,0,52,1596346376
387,Lebu,CL,-37.62,-73.65,50.67,8.43,75,95,1596346376
388,Coyhaique,CL,-45.58,-72.07,37.67,3.36,90,93,1596346376
389,Harper,LR,4.38,-7.72,74.46,8.86,87,83,1596346138
390,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
391,Tornio,FI,65.85,24.15,55.67,5.82,90,100,1596346376
392,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
393,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
394,Ndélé,CF,8.41,20.65,71.1,1.97,100,95,1596346324
395,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
396,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
397,Meulaboh,ID,4.14,96.13,88.47,3.94,91,53,1596346377
398,Makassar,ID,-5.14,119.42,89.87,11.41,20,52,1596346378
399,Port Elizabeth,ZA,-33.92,25.57,46.67,2.24,0,93,1596346323
400,Dudinka,RU,69.41,86.18,71.87,15.66,100,40,1596346378
401,Torbay,CA,47.67,-52.73,57.56,9.17,90,100,1596346326
402,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
403,Mehamn,NO,71.04,27.85,49.66,6.38,97,82,1596346379
404,Kurchum,KZ,48.57,83.65,82.8,8.48,79,26,1596346379
405,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
406,Geraldton,AU,-28.77,114.6,68.27,14.99,0,42,1596346379
407,Santa Helena de Goiás,BR,-17.81,-50.6,64.65,3.33,13,58,1596346380
408,Tranås,SE,58.04,14.98,61.81,6.93,89,87,1596346380
409,Mossamedes,AO,-15.2,12.15,66.45,3.47,2,71,1596346380
410,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
411,Iqaluit,CA,63.75,-68.51,46.67,11.41,75,93,1596346341
412,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
413,Jamestown,US,42.1,-79.24,67.91,9.17,20,93,1596346321
414,Hilo,US,19.73,-155.09,73.92,4.7,90,57,1596346325
415,Port Lincoln,AU,-34.73,135.87,57.13,7.83,100,69,1596346381
416,Ancud,CL,-41.87,-73.82,43.03,10.29,21,87,1596346381
417,Luau,AO,-10.71,22.22,60.55,5.99,81,38,1596346381
418,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
419,Castro,BR,-24.79,-50.01,49.66,3.22,0,97,1596346362
420,Castro,BR,-24.79,-50.01,49.66,3.22,0,97,1596346362
421,Yellowknife,CA,62.46,-114.35,73.42,13.87,20,56,1596346285
422,Broome,US,42.25,-75.83,71.01,4.7,90,60,1596346382
423,Alice Springs,AU,-23.7,133.88,75.36,8.05,0,8,1596346383
424,Petra,JO,30.32,35.48,77.95,6.73,0,21,1596346383
425,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
426,Vila Praia de Âncora,PT,41.81,-8.85,62.42,4.7,1,87,1596346383
427,Dikson,RU,73.51,80.55,50.72,15.23,23,88,1596346357
428,Presidencia Roque Sáenz Peña,AR,-26.79,-60.44,70.9,9.01,0,55,1596346384
429,Olinda,BR,-8.01,-34.86,73.67,8.05,75,88,1596346384
430,Natal,BR,-5.79,-35.21,72.77,4.7,40,94,1596346384
431,Lata,PT,40.16,-8.33,61.2,2.48,55,92,1596346359
432,Taoudenni,ML,22.68,-3.98,95.34,11.16,0,12,1596346384
433,Norwich,GB,52.63,1.3,56.73,5.82,44,81,1596346384
434,Carnarvon,AU,-24.87,113.63,68.27,14.99,0,64,1596346301
435,Aklavik,CA,68.22,-135.01,53.87,10.29,75,87,1596346374
436,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
437,Lagoa,PT,39.05,-27.98,70.97,10.11,15,72,1596346385
438,Guerrero Negro,MX,27.98,-114.06,74.03,11.97,0,73,1596346329
439,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
440,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
441,Hoquiam,US,46.98,-123.89,60.62,4.7,1,87,1596346386
442,Souillac,MU,-20.52,57.52,71.87,12.75,75,78,1596346386
443,Kapaa,US,22.08,-159.32,75.81,12.75,40,78,1596346386
444,Puerto Ayora,EC,-0.74,-90.35,67.26,4.0,96,96,1596346363
445,Fuerte Olimpo,PY,-21.04,-57.87,71.96,5.91,0,41,1596346387
446,Lamesa,US,32.74,-101.95,76.08,10.29,75,47,1596346387
447,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
448,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
449,Hithadhoo,MV,-0.6,73.08,83.68,10.31,64,71,1596346247
450,Peniche,PT,39.36,-9.38,64.29,8.99,3,86,1596346388
451,Provideniya,RU,64.38,-173.3,48.63,8.63,14,63,1596346352
452,Padang,ID,-0.95,100.35,85.14,6.17,71,64,1596346388
453,Mahébourg,MU,-20.41,57.7,71.87,12.75,75,78,1596346347
454,Upernavik,GL,72.79,-56.15,40.59,11.16,0,71,1596346326
455,George Town,MY,5.41,100.34,86.68,4.7,20,74,1596346389
456,Yellowknife,CA,62.46,-114.35,73.42,13.87,20,56,1596346285
457,Praia,CV,14.92,-23.51,79.07,8.05,75,88,1596346389
458,Nouadhibou,MR,20.93,-17.03,73.67,12.75,9,88,1596346389
459,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
460,Mayo,US,38.89,-76.51,79.84,8.05,75,88,1596346389
461,East London,ZA,-33.02,27.91,48.47,6.93,0,87,1596346331
462,Severo-Kuril'sk,RU,50.68,156.12,55.29,6.78,97,81,1596346390
463,Thompson,CA,55.74,-97.86,53.87,0.76,20,81,1596346335
464,Dikson,RU,73.51,80.55,50.72,15.23,23,88,1596346357
465,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
466,Yellowknife,CA,62.46,-114.35,73.42,13.87,20,56,1596346285
467,Emerald,AU,-23.53,148.17,76.41,10.29,0,29,1596346390
468,Tabou,CI,4.42,-7.35,74.05,9.42,70,82,1596346391
469,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
470,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
471,Jablanica,BA,43.66,17.76,66.43,3.36,20,50,1596346391
472,Tiksi,RU,71.69,128.87,50.65,4.0,66,67,1596346333
473,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
474,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
475,Lagoa,PT,39.05,-27.98,70.97,10.11,15,72,1596346385
476,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
477,Airai,TL,-8.93,125.41,72.64,2.75,8,54,1596346331
478,Khatanga,RU,71.97,102.5,67.01,11.01,100,73,1596346353
479,Nyurba,RU,63.28,118.33,78.58,6.4,0,36,1596346317
480,Rikitea,PF,-23.12,-134.97,73.54,8.1,40,79,1596346313
481,Sinop Province,TR,41.77,34.87,70.07,5.82,75,88,1596346393
482,New Norfolk,AU,-42.78,147.06,53.87,3.0,87,48,1596346312
483,Albany,US,42.6,-73.97,72.18,3.71,100,60,1596346318
484,Kapaa,US,22.08,-159.32,75.81,12.75,40,78,1596346386
485,Yulara,AU,-25.24,130.99,75.47,8.05,0,8,1596346394
486,Saint-Philippe,RE,-21.36,55.77,67.14,13.87,90,68,1596346332
487,Paracuru,BR,-3.41,-39.03,76.26,1.99,71,83,1596346394
488,Tuktoyaktuk,CA,69.45,-133.04,50.27,14.99,75,93,1596346394
489,Bredasdorp,ZA,-34.53,20.04,46.67,4.7,0,93,1596346326
490,Mar del Plata,AR,-38.0,-57.56,52.36,5.82,100,87,1596346355
491,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
492,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
493,Sisimiut,GL,66.94,-53.67,45.64,4.79,100,90,1596346395
494,Arraial do Cabo,BR,-22.97,-42.03,68.86,11.34,3,74,1596346320
495,Bluff,NZ,-46.6,168.33,50.95,4.74,100,89,1596346314
496,Qaanaaq,GL,77.48,-69.36,37.2,10.56,100,81,1596346317
497,Kysyl-Syr,RU,63.9,122.76,78.96,6.29,0,31,1596346395
498,Cape Town,ZA,-33.93,18.42,53.87,1.12,0,58,1596346201
499,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
500,Haines Junction,CA,60.75,-137.51,57.45,7.61,51,63,1596346102
501,Guerrero Negro,MX,27.98,-114.06,74.03,11.97,0,73,1596346329
502,Vaini,TO,-21.2,-175.2,71.87,6.93,75,78,1596346318
503,Punta Arenas,CL,-53.15,-70.92,35.56,19.46,100,93,1596346314
504,Castlemaine,AU,-37.07,144.22,55.29,1.01,56,68,1596346397
505,Bonfim,BR,3.08,-59.95,77.74,3.11,100,76,1596346397
506,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
507,Barra de Tecoanapa,MX,16.52,-98.75,81.14,4.56,9,82,1596346397
508,Terrace,CA,54.52,-128.6,64.67,8.05,75,68,1596346257
509,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
510,Il’inskiy,RU,55.62,38.12,60.48,8.95,75,87,1596346398
511,Puteyets,RU,65.17,57.09,59.45,8.93,88,78,1596346398
512,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
513,Alofi,NU,-19.06,-169.92,71.87,6.93,100,73,1596346398
514,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
515,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
516,Bambous Virieux,MU,-20.34,57.76,72.54,12.75,75,78,1596346399
517,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
518,Severo-Kuril'sk,RU,50.68,156.12,55.29,6.78,97,81,1596346390
519,Hazorasp,UZ,41.32,61.07,84.47,6.93,0,45,1596346399
520,Mataura,NZ,-46.19,168.86,50.07,1.39,100,94,1596346313
521,Ushuaia,AR,-54.8,-68.3,35.87,4.7,95,93,1596346287
522,Bilibino,RU,68.05,166.44,47.84,3.83,100,74,1596346400
523,Freilassing,DE,47.85,12.98,68.05,9.17,20,77,1596346400
524,Bethel,US,41.37,-73.41,72.45,3.36,1,83,1596346328
525,Atuona,PF,-9.8,-139.03,79.48,16.75,38,76,1596346322
526,Mahébourg,MU,-20.41,57.7,71.87,12.75,75,78,1596346347
527,Ereymentau,KZ,51.62,73.1,82.24,10.45,0,36,1596346400
528,Bredasdorp,ZA,-34.53,20.04,46.67,4.7,0,93,1596346326
529,Labuhan,ID,-6.88,112.21,86.49,5.99,55,57,1596346401
530,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
531,Agropoli,IT,40.35,15.0,77.31,2.39,0,74,1596346401
532,Kungurtug,RU,50.6,97.52,62.82,2.77,99,53,1596346401
533,Saint-Augustin,CA,51.23,-58.65,50.97,1.1,24,95,1596346313
534,Hasaki,JP,35.73,140.83,86.41,11.41,40,69,1596346402
535,Dongsheng,CN,39.82,109.98,84.36,17.36,0,14,1596346402
536,Saldanha,ZA,-33.01,17.94,50.27,1.12,0,71,1596346351
537,Arraial do Cabo,BR,-22.97,-42.03,68.86,11.34,3,74,1596346320
538,Aswān,EG,24.09,32.91,98.74,7.05,94,17,1596346324
539,Naze,JP,28.37,129.48,88.99,8.05,75,70,1596346403
540,Port Alfred,ZA,-33.59,26.89,63.25,9.04,0,32,1596346275
541,Faya,SA,18.39,42.45,66.47,4.7,20,88,1596346403
542,Skibbereen,IE,51.55,-9.27,52.07,8.05,40,93,1596346403
543,Pevek,RU,69.7,170.31,36.68,6.73,95,90,1596346331
544,Davila,PH,18.47,120.58,86.27,6.93,90,74,1596346404
545,Banda Aceh,ID,5.56,95.32,86.7,16.89,100,65,1596346330
546,Ponta do Sol,PT,32.67,-17.1,67.8,17.22,20,78,1596346357
547,Hermanus,ZA,-34.42,19.23,60.78,3.67,0,49,1596346322
548,Nhulunbuy,AU,-12.23,136.77,82.67,16.11,90,58,1596346404
549,Melo,UY,-32.37,-54.18,55.99,6.42,82,92,1596346404
550,Mar del Plata,AR,-38.0,-57.56,52.36,5.82,100,87,1596346355
551,Hilo,US,19.73,-155.09,73.92,4.7,90,57,1596346325
552,Hobart,AU,-42.88,147.33,56.26,13.87,75,41,1596346320
553,New Norfolk,AU,-42.78,147.06,53.87,3.0,87,48,1596346312
554,Otradnoye,RU,59.78,30.82,60.8,4.47,40,87,1596346241
555,Busselton,AU,-33.65,115.33,54.88,14.54,61,95,1596346312
556,Sangmélima,CM,2.93,11.98,69.19,4.29,100,90,1596346405
557,Quatre Cocos,MU,-20.21,57.76,72.61,12.75,75,78,1596346406
558,Luba,GQ,3.46,8.55,75.47,4.7,40,100,1596346406
559,Kiryat Gat,IL,31.61,34.76,77.81,3.0,0,57,1596346348
560,Bayir,TR,37.27,28.22,77.27,2.24,0,57,1596346406
561,Taoudenni,ML,22.68,-3.98,95.34,11.16,0,12,1596346384
